millis,dist_raw,dist_filtered,water_height,setpoint,pid_val
2.02,57.90,48.10,18.90,0.50,31.23
3.04,49.90,49.27,17.73,0.50,31.15
4.05,51.50,51.63,15.37,0.50,32.32
5.07,51.10,51.88,15.12,0.50,34.82
6.08,49.40,51.56,15.44,0.50,34.93
7.10,47.60,51.28,15.72,0.50,34.61
8.11,45.50,50.15,16.85,0.50,34.33
9.12,44.80,48.38,18.62,0.50,33.20
10.14,43.00,46.27,20.73,0.50,31.43
11.15,41.20,44.41,22.59,0.50,29.32
12.17,40.00,42.85,24.15,0.50,27.29
13.18,39.00,41.70,25.30,0.50,25.90
14.20,37.20,40.25,26.75,0.50,24.75
15.21,36.30,38.84,28.16,0.50,23.30
16.22,36.60,37.80,29.20,0.50,21.89
17.24,35.40,37.11,29.89,0.50,20.85
18.25,35.20,36.69,30.31,0.50,20.16
19.27,33.10,35.85,31.15,0.50,19.70
20.28,32.70,34.54,32.46,0.50,18.90
21.30,31.50,33.51,33.49,0.50,17.59
22.31,31.60,32.69,34.31,0.50,16.56
23.32,30.40,31.87,35.13,0.50,15.74
24.34,29.30,31.24,35.76,0.50,14.92
25.35,29.10,30.64,36.36,0.50,14.30
26.37,28.40,29.74,37.26,0.50,13.62
27.38,28.50,29.17,37.83,0.50,12.79
28.37,29.10,28.55,38.45,0.50,12.22
29.31,26.90,28.07,38.93,0.50,11.60
30.22,27.50,27.86,39.14,0.50,11.12
31.10,25.40,27.20,39.80,0.50,10.91
31.94,25.00,26.48,40.52,0.50,10.25
32.71,24.90,25.97,41.03,0.50,9.53
33.44,24.10,25.50,41.50,0.50,9.02
34.14,23.70,25.03,41.97,0.50,8.55
34.80,23.40,24.74,42.26,0.50,8.08
35.43,23.50,24.51,42.49,0.50,7.79
36.05,23.10,24.17,42.83,0.50,7.56
36.64,22.40,23.78,43.22,0.50,7.22
37.19,22.00,23.45,43.55,0.50,6.84
37.73,22.20,23.22,43.78,0.50,6.51
38.23,21.50,22.98,44.02,0.50,6.27
38.73,21.70,22.70,44.30,0.50,6.03
39.20,21.50,22.36,44.64,0.50,5.75
39.64,20.90,22.08,44.92,0.50,5.42
40.06,21.00,21.78,45.22,0.50,5.13
40.45,20.50,21.60,45.40,0.50,4.83
